case,task_id,episodes,successes,bf16_successes
language-w2-clip,0,5,0,5
language-w2-clip,1,5,0,5
language-w2-clip,2,5,0,5
language-w2-clip,3,5,0,5
language-w2-clip,4,5,0,5
language-w2-clip,5,5,0,5
language-w2-clip,6,5,0,5
language-w2-clip,7,5,0,5
language-w2-clip,8,5,0,5
language-w2-clip,9,5,0,5
language-w2-g64-clip,0,5,0,5
language-w2-g64-clip,1,5,0,5
language-w2-g64-clip,2,5,0,5
language-w2-g64-clip,3,5,0,5
language-w2-g64-clip,4,5,0,5
language-w2-g64-clip,5,5,0,5
language-w2-g64-clip,6,5,0,5
language-w2-g64-clip,7,5,0,5
language-w2-g64-clip,8,5,0,5
language-w2-g64-clip,9,5,0,5
language-w2-g64-no-clip,0,5,5,5
language-w2-g64-no-clip,1,5,1,5
language-w2-g64-no-clip,2,5,5,5
language-w2-g64-no-clip,3,5,3,5
language-w2-g64-no-clip,4,5,0,5
language-w2-g64-no-clip,5,5,2,5
language-w2-g64-no-clip,6,5,1,5
language-w2-g64-no-clip,7,5,0,5
language-w2-g64-no-clip,8,5,3,5
language-w2-g64-no-clip,9,5,0,5
language-w2-no-clip,0,5,4,5
language-w2-no-clip,1,5,0,5
language-w2-no-clip,2,5,3,5
language-w2-no-clip,3,5,0,5
language-w2-no-clip,4,5,0,5
language-w2-no-clip,5,5,0,5
language-w2-no-clip,6,5,0,5
language-w2-no-clip,7,5,0,5
language-w2-no-clip,8,5,1,5
language-w2-no-clip,9,5,0,5
vision-w2,0,35,35,35
vision-w2,1,35,24,35
vision-w2,2,35,35,34
vision-w2,3,35,35,35
vision-w2,4,35,35,35
vision-w2,5,35,28,32
vision-w2,6,35,35,35
vision-w2,7,35,29,31
vision-w2,8,35,35,35
vision-w2,9,35,33,34
